tpop_2021, tpop_2020, tpop_2015, tpop_2016, tpop_2017, vifsa_name, tpop_2018, lga_name, tpop_2011, tpop_2012, tpop_2013, tpop_2014, tpop_2019, vifsa_code, tpop_2031, tpop_2030, tpop_2028, tpop_2029, tpop_2026, lga_code, tpop_2027, tpop_2024, tpop_2025, tpop_2022, tpop_2023
3765,3755,3718,3723,3729,"VIFSA Rutherglen District",3736,"Indigo (S)",3739,3740,3719,3715,3745,"VIFSA.23350.20",3962,3937,3890,3913,3845,23350,3867,3810,3827,3779,3794
56582,56178,53765,54260,54751,"VIFSA Aspendale-Chelsea District",55274,"Kingston (C)",52031,52462,52921,53315,55724,"VIFSA.23430.10",62050,61350,60042,60675,58862,23430,59440,57871,58348,56969,57408
50590,48673,39498,41792,43191,"VIFSA CBD-East Melbourne District",44527,"Melbourne (C)",27053,29172,34649,36259,46738,"VIFSA.24600.10",65597,64764,63058,63933,61312,24600,62184,57475,59633,53252,55345
3071,3062,3012,3036,3041,"VIFSA Avoca-Landsborough District",3047,"Pyrenees (S)",3072,3054,3026,2991,3055,"VIFSA.25990.10",3126,3113,3086,3099,3059,25990,3072,3062,3060,3067,3065
4129,4074,3926,3866,3916,"VIFSA Beaufort-Snake Valley District",3968,"Pyrenees (S)",3684,3698,3734,3990,4021,"VIFSA.25990.20",4613,4571,4486,4529,4402,25990,4444,4291,4346,4182,4236
3062,3056,3036,3035,3039,"VIFSA Queenscliffe Borough",3044,"Queenscliffe (B)",3069,3074,3060,3042,3050,"VIFSA.26080.10",3159,3149,3128,3138,3107,26080,3117,3088,3097,3070,3079
9374,9247,8702,8763,8879,"VIFSA Korumburra District",8999,"South Gippsland (S)",8524,8576,8650,8663,9122,"VIFSA.26170.10",10795,10650,10359,10505,10069,26170,10214,9787,9927,9510,9648
11793,11633,10934,11020,11166,"VIFSA Leongatha District",11318,"South Gippsland (S)",10666,10791,10864,10877,11474,"VIFSA.26170.20",13256,13118,12842,12980,12565,26170,12703,12252,12408,11944,12097
8510,8470,8348,8329,8359,"VIFSA Promontory District",8394,"South Gippsland (S)",8326,8388,8411,8387,8431,"VIFSA.26170.30",8712,8696,8663,8680,8631,26170,8647,8580,8605,8532,8555
9676,9700,9846,9821,9786,"VIFSA Hamilton Town",9755,"Southern Grampians (S)",10225,10115,9992,9882,9727,"VIFSA.26260.10",9517,9526,9550,9537,9580,26260,9564,9613,9595,9653,9632
5903,5929,6038,6048,6015,"VIFSA Southern Grampians Rural",5985,"Southern Grampians (S)",6346,6256,6149,6036,5956,"VIFSA.26260.20",5821,5822,5827,5824,5835,26260,5830,5859,5846,5887,5872
