 Towong,2015,2 Eastern,2015,December,"2,781.00",167,1,"2,781.00"
 Surf Coast,2020,4 Western,2020,December,"3,341.10","1,197",1,"3,341.10"
 Macedon Ranges,2014,4 Western,2014,December,"3,243.80","1,475",1,"3,243.80"
 Alpine,2020,2 Eastern,2020,December,"3,163.80",413,1,"3,163.80"
 Yarriambiack,2020,4 Western,2020,December,"5,435.90",361,1,"5,435.90"
 Casey,2018,3 Southern Metro,2018,December,"4,720.70","15,960",1,"4,720.70"
 Unincorporated Vic,2017,Unincorporated Vic,2017,December,,119,1,
 Indigo,2015,2 Eastern,2015,December,"2,386.60",380,1,"2,386.60"
 Loddon,2021,4 Western,2021,December,"5,283.70",407,1,"5,283.70"
 Cardinia,2015,3 Southern Metro,2015,December,"5,068.40","4,678",1,"5,068.40"
 Moira,2018,2 Eastern,2018,December,"5,235.70","1,566",1,"5,235.70"
 Frankston,2023,3 Southern Metro,2023,December,"7,496.90","10,686",1,"7,496.90"
 Greater Shepparton,2016,2 Eastern,2016,December,"9,726.10","6,329",1,"9,726.10"
 Wellington,2017,2 Eastern,2017,December,"6,204.40","2,722",1,"6,204.40"
 Nillumbik,2014,1 North West Metro,2014,December,"2,500.30","1,586",1,"2,500.30"
 Colac-Otway,2014,4 Western,2014,December,"5,200.90","1,099",1,"5,200.90"
 Strathbogie,2022,2 Eastern,2022,December,"3,266.70",376,1,"3,266.70"
 Melton,2014,1 North West Metro,2014,December,"5,821.70","7,528",1,"5,821.70"
 Macedon Ranges,2019,4 Western,2019,December,"3,476.70","1,744",1,"3,476.70"
 Wodonga,2019,2 Eastern,2019,December,"6,639.10","2,794",1,"6,639.10"
 Glen Eira,2020,3 Southern Metro,2020,December,"4,050.90","6,265",1,"4,050.90"
 Hepburn,2014,4 Western,2014,December,"3,253.40",494,1,"3,253.40"
 Horsham,2015,4 Western,2015,December,"9,968.70","1,973",1,"9,968.70"
 Alpine,2023,2 Eastern,2023,December,"2,418.00",320,1,"2,418.00"
 Yarra,2015,1 North West Metro,2015,December,"11,177.30","10,051",1,"11,177.30"
 Corangamite,2022,4 Western,2022,December,"3,188.90",510,1,"3,188.90"
 Brimbank,2022,1 North West Metro,2022,December,"6,274.60","12,126",1,"6,274.60"
 Whitehorse,2023,2 Eastern,2023,December,"4,203.30","7,406",1,"4,203.30"
 Northern Grampians,2016,4 Western,2016,December,"8,089.90",936,1,"8,089.90"
 Pyrenees,2023,4 Western,2023,December,"3,483.50",268,1,"3,483.50"
 Melton,2017,1 North West Metro,2017,December,"5,411.20","8,047",1,"5,411.20"
 Murrindindi,2023,2 Eastern,2023,December,"3,740.50",581,1,"3,740.50"
 Knox,2020,2 Eastern,2020,December,"5,349.10","8,732",1,"5,349.10"
 Hepburn,2020,4 Western,2020,December,"3,439.60",562,1,"3,439.60"
 Stonnington,2017,3 Southern Metro,2017,December,"7,039.80","7,894",1,"7,039.80"
 Horsham,2021,4 Western,2021,December,"7,661.00","1,561",1,"7,661.00"
 Gannawarra,2020,4 Western,2020,December,"6,430.30",680,1,"6,430.30"
 Kingston,2021,3 Southern Metro,2021,December,"4,236.20","6,759",1,"4,236.20"
 Ararat,2017,4 Western,2017,December,"7,739.90",913,1,"7,739.90"
 Loddon,2018,4 Western,2018,December,"5,130.20",390,1,"5,130.20"
 Golden Plains,2020,4 Western,2020,December,"1,834.50",447,1,"1,834.50"
 Mansfield,2016,2 Eastern,2016,December,"5,545.30",481,1,"5,545.30"
